rank,title,artist,release,summary,metascore,userscore
1840,Somewhere Else,Lydia Loveless,"February 18, 2014","The Ohio country-rock singer is backed by Nick German, Ben Lamb, and Todd May on her third full-length release.",81,8.3
1841,"Bark Your Head Off, Dog",Hop Along,"April 6, 2018",The third full-length release for the Philadelphia indie rock band led by Frances Quinlan was self-produced and recorded.,81,8.0
1842,TSOL,Shad,"October 5, 2010",The latest album for the Canadian rapper was nominated for a Polaris Music Prize.,81,8.6
1843,Love Travels At Illegal Speeds,Graham Coxon,"March 13, 2006",This is the fifth solo disc for the former Blur guitarist.,81,8.5
1844,13 Rivers,Richard Thompson,"September 14, 2018",The latest full-length solo release for the British singer-songwriter was self-produced.,81,8.3
1845,Fever Ray,Fever Ray,"March 24, 2009",The Knife's Karin Dreijer Andersson releases her solo album under the name Fever Ray.,81,8.8
1846,AM,Arctic Monkeys,"September 10, 2013","Produced by James Ford and Ross Orton, the fifth full-length studio release for the indie rock band includes guest appearances by Josh Homme, Bill Ryder-Jones, and Pete Thomas.",81,8.5
1847,Contra,Vampire Weekend,"January 12, 2010","The second album for the rock band was produced by band member, Rostam Batmanglij.",81,6.9
1848,Get Behind Me Satan,The White Stripes,"June 7, 2005","The duo's fifth long-player, destined to be known as GBMS in record reviews everywhere, was recorded in their Detroit studio. While not a total departure from previous efforts, it does find them expanding their sound away from their usual guitar+drums formula.",81,8.3
1849,Consequences,Joan Armatrading,"June 18, 2021",The latest full-length release for the British singer-songwriter was self-recorded and produced.,81,tbd
1850,Love Is the King,Jeff Tweedy,"October 23, 2020",The fourth full-length solo release for the Wilco singer was produced with Tom Schick and features his sons Spencer and Sammy.,81,8.2
1851,Keleketla!,Keleketla!,"July 3, 2020","The collaborative project brought together by Coldcut and Keletetla! Library founders Rangoato Hlasane and Malose Malahlela features appearances from such artists as Tony Allen, Antibalas, Shabaka Hutchings, Nono Nkoane, Tamar Osborn, Afla Sackey, Dele Sosimi, Tenderlonious, Thabang Tabane, The Watts Prophets, and Sibusile Xaba.",81,tbd
1852,UNLOCKED,Denzel Curry,"February 7, 2020",The eight-track soundtrack to the short film of the same name is a collaboration between Denzel Curry and Kenny Beats.,81,8.0
1853,You Will Not Die,Nakhane,"February 22, 2019",The second full-length release for the South African actor/singer was produced by Ben Christopher.,81,8.5
1854,Dead Magic,Anna von Hausswolff,"March 2, 2018",The fourth full-length release for the Swedish singer-songwriter features a 20th century pipe organ and was produced by Randall Dunn.,81,8.3
1855,By the Way I Forgive You,Brandi Carlile,"February 16, 2018",The sixth full-length studio release for the singer-songwriter was co-produced by Dave Cobb and Shooter Jennings.,81,8.1
1856,Damned Devotion,Joan as Police Woman,"February 9, 2018",The fifth full-length release for Joan Wasser was produced with Thomas Bartlett and Parker Kindred.,81,6.4
1857,Open Here,Field Music,"February 2, 2018","The sixth full-length release for the British alternative rock band features contributions from Liz Corney, Ed Cross, Simon Dennis, Pete Fraser, Sarah Hayes, Ele Leckie, Jo Montgomery, and Chrissie Slater.",81,8.0
1858,Visions of a Life,Wolf Alice,"September 29, 2017",The second full-length release for the British alternative rock band was produced by Justin Meldal-Johnsen.,81,8.5
1859,Green Twins,Nick Hakim,"May 19, 2017",The debut full-length release for the New York City-based artist was recorded over a three year period with guest appearances from Jesse & Forever and Onyx Collective.,81,8.1
1860,Play What They Want,Man Forever,"May 19, 2017","The third release for the John Colpitts project features guest appearances by Laurie Anderson, David Byrne, Nick Hallett, Trans Am's Phil Manley, Quince Contemporary Vocal Ensemble, TIGUE, and Yo La Tengo.",81,tbd
1861,IV,Part Chimp,"April 14, 2017",This is the first full-length studio release since 2009's Thriller for the British noise rock band.,81,tbd
1862,Closure,Piano Magic,"January 27, 2017",This is the 12th and final release for the British collective led by Glen Johnson.,81,7.8
1863,Jardín,Gabriel Garzón-Montano,"January 27, 2017","This is the debut full-length release for the Brooklyn R&B singer best known for being sample on Drake's ""Jungle"" track.",81,7.8
1864,Bonito Generation,Kero Kero Bonito,"October 21, 2016",This is the debut full-length release for the London-based J-pop-influenced trio.,81,8.5
1865,Eric Bachmann,Eric Bachmann,"March 25, 2016",This is the second full-length solo release for the former frontman of Archers of Loaf and Crooked Fingers under his name.,81,4.9
1866,If I've Only One Time Askin',Daniel Romano,"July 31, 2015",The fourth full-length release for the Canadian alt-country singer-songwriter was self-produced.,81,tbd
1867,Last Dance,Keith Jarrett,"June 17, 2014",The second release of jazz classic from Keith Jarrett and Charlie Haden are from the same 2007 sessions as those on 2010's Jasmine.,81,tbd
1868,Settle,Disclosure,"June 4, 2013","The debut release for the British electronic duo of Guy and Howard Lawrence  features guest appearances from AlunaGeorge, Eliza Doolittle, Sasha Keable, London Grammar, Ed Macfarlane, Sam Smith, Jesse Ware, and Jamie Woon.",81,8.5
1869,Ohnomite,Oh No,"June 5, 2012",The latest solo album for producer/MC Oh No utilizes sound samples from the soundtracks of Rudy Ray Moore's blaxpoitation films.,81,8.0
1870,Last,The Unthanks,"April 19, 2011",The fourth album for the Northumberland folk group was produced by Adrian McNally.,81,tbd
1871,Marnie Stern,Marnie Stern,"October 5, 2010",The more emotional third album for the New York-based singer/songwriter has a much simpler title than her 2008 release.,81,8.1
1872,Avi Buffalo,Avi Buffalo,"April 27, 2010","This is the debut album for the Long Beach, California-based rock band led by Avigdor Zahner-Isenberg, who also goes by the name Avi Buffalo.",81,8.2
1873,Signal Morning,Circulatory System,"September 8, 2009",The second album for the W. Cullen Hart-led indie rock band is its first in eight years.,81,8.6
1874,Help,Thee Oh Sees,"April 28, 2009","The San Francisco-based band led by John Dwyer releases its follow-up to last year's ""The Masters Bedroom is Worth Spending a Night In.""",81,8.8
1875,Cross,Justice,"July 10, 2007",The French dance duo known for remixing songs from the likes of Franz Ferdinand emerge with their debut album.,81,8.9
1876,The Mouse And The Mask,DangerDoom,"October 11, 2005","This collaboration between MF Doom and Danger Mouse includes voices and skits from Cartoon Network's Adult Swim shows. Non-animated folks like Ghostface Killah, Cee-Lo & Talib Kweli also lend a hand.",81,8.6
1877,Weightlifting,Trash Can Sinatras,"August 31, 2004",The fourth album for the veteran Scottish band is their first album release in eight years and first U.S. release since 1993's 'I've Seen Everything.',81,8.8
1878,Movement,Gossip,"May 6, 2003","This is the second full-length for the Olympia, Wash-based indie-punk trio led by powerful singer Beth Ditto.",81,8.4
1879,Morning Phase,Beck,"February 25, 2014","The 12th studio release for the singer-songwriter includes contributions from  Jason Falkner, Smokey Hormel, Roger Joseph Manning Jr., Justin Meldal-Johnsen, and Joey Waronker.",81,8.3
1880,Researching the Blues,Redd Kross,"August 7, 2012","The first release in over 15 years for the Los Angeles rock quartet was produced by band co-founder, Steven McDonald.",81,8.5
1881,Capacity,Big Thief,"June 9, 2017",The second full-length release for the Brooklyn indie rock band led by Adrianne Lenker was produced by Andrew Sarlo.,81,8.0
1882,The Inheritors,James Holden,"June 17, 2013",This is the follow-up to the British electronic producer's 2006's The Idiots Are Winning.,81,7.7
1883,Benjamin Booker,Benjamin Booker,"August 19, 2014",The debu full-length release for the New Orleans based singer-songwriter was produced by Andrija Tokic.,81,8.1
1884,The Talkies,Girl Band,"September 27, 2019",The second full-length release for the Irish noise rock band was recorded at Ballintubbert House.,81,7.8
1885,Life is Good,Nas,"July 17, 2012","Mary J. Blige, Anthony Hamilton, Miguel, Rick Ross, Swizz Beatz, and the late Amy Winehouse are guests on the tenth release for the rapper.",81,8.6
1886,RR7349,S U R V I V E,"September 30, 2016","Fresh off scoring Netflix's Stranger Things, Michael Stein and Kyle Dixon and the other three members of the Austin synth band return with its self-recorded second full-length album on new label, Relapse Records.",81,7.8
1887,Picaresque,The Decemberists,"March 22, 2005","Chris Walla produced this third album for the literary Portland, Ore.-based five-piece led by Colin Meloy.",81,8.5
1888,Zeros,Declan McKenna,"September 4, 2020",The second full-length release for the British singer-songwriter was recorded in Nashville with Jay Joyce and mixed by Spike Stent.,81,9.0
1889,Diviner,Hayden Thorpe,"May 24, 2019",The debut full-length solo release for former frontman of Wild Beast was produced by Leo Abrahams.,81,7.5
1890,"From a Room, Vol. 1",Chris Stapleton,"May 5, 2017",The first of two releases in 2017 for the award-winning country singer-songwriter was produced by Dave Cobb.,81,7.2
1891,Take Me to the Alley,Gregory Porter,"May 6, 2016",The fourth full-length release for the soul-jazz singer-songwriter was produced by Kamau Kenyatta.,81,5.9
1892,Psychic Chasms,Neon Indian,"October 13, 2009",This is the debut album for the Alan Palomo-led band.,81,8.7
1893,They Want My Soul,Spoon,"August 5, 2014",The eighth studio full-length release for the indie rock band is its first with new member Alex Fischel and was produced by Joe Chicarelli and Dave Fridmann.,81,8.5
1894,Strands,Steve Hauschildt,"October 28, 2016","The fourth full-length release for the electronic artist was inspired by river moments and is ""about cosmogony and creation/destruction myths.""",81,tbd
1895,Deep Politics,Grails,"March 8, 2011","This is the first album in three years for the Portland, Oregon-based instrumental post-rock quartet.",81,tbd
1896,AZD,Actress,"April 14, 2017","The fifth full-length studio release for electronic artist Darren Cunningham was inspired by such things as Blade Runner, Rammellzee, and Gabriel Fauré’s Requiem.",81,6.9
1897,Public Strain,Women,"September 28, 2010",The second album for the indie Canadian quartet was produced by Chad VanGaalen.,81,8.8
1898,A Fever Dream,Everything Everything,"August 18, 2017",The fourth full-length release for the British indie rock band was produced by James Ford.,81,8.2
1899,So Runs The World Away,Josh Ritter,"May 4, 2010",The fifth album for the singer-songwriter was produced by Sam Kassirer.,81,8.1
1901,Shamir,Shamir,"October 2, 2020",This is the latest full-length release for the Philadelphia-based alternative singer-songwriter.,81,8.3
1902,Club Future Nostalgia: The Remix Album,Dua Lipa,"August 28, 2020","The British pop singer worked with DJ The Blessed Madonna on the remix of her recently released album, Future Nostalgia. It features guest appearances from [the singer/actress] Madonna, Missy Elliott, and Gwen Stefani.",81,4.7
1903,Holiday Destination,Nadine Shah,"August 25, 2017",The third full-length release for the British singer-songwriter was produced with Ben Hillier.,81,8.2
1904,Cold Spring Fault Less Youth,Mount Kimbie,"May 28, 2013",The second release for the British electronic duo of Dominic Maker and Kai Campos features the guest appearance of King Krule on two tracks.,81,8.2
1905,Konoyo,Tim Hecker,"September 28, 2018",The experimental electronic composer collaborated with gagaku ensemble Tokyo Gakuso on his ninth full-length release.,81,7.8
1906,Northern Passages,The Sadies,"February 10, 2017",The 10th full-length release for the Canadian alt-country band features a guest appearance from Kurt Vile.,81,tbd
1907,A Stranger Here,Ramblin' Jack Elliott,"April 7, 2009",Joe Henry produced the Grammy-winning folk singer's second album for the Anti- label.,81,8.0
